ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2016/05/05 18:23:45"
"Settings=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Margreet\Block setttings\3x8-22x18 HMO 3rd-3.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Anthony\05_04_2016\10087926_gain 400.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/#2)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=45, 0"
"JpegOrigin=45, 715"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4000B [86761]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=3.32"
"Filters=<Empty>"
"ScanRegion=9,0,4400,14300"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/#2)"	"Ratio of Means (635/#2)"	"Median of Ratios (635/#2)"	"Mean of Ratios (635/#2)"	"Ratios SD (635/#2)"	"Rgn Ratio (635/#2)"	"Rgn R2 (635/#2)"	"Log Ratio (635/#2)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/#2)"	"Sum of Means (635/#2)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	4	2	""	""	960	1415	200	32	39	20	51	28	28	32	50	156	8	0	0	50166	0.140	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	11	4	11	1272	3443	100	22
0	0	0	1	5	2	""	""	1220	1415	200	31	43	60	139	27	27	28	12	42	28	22	0	55140	1.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	16	4	16	1272	3400	100	23
0	0	0	1	6	2	""	""	1480	1415	200	39	57	42	73	30	30	37	99	267	7	0	0	71941	0.202	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	9	27	9	27	1272	3940	100	24
0	0	0	1	7	2	""	""	1805	1435	200	39	43	19	44	36	36	48	103	214	0	0	0	55140	-0.049	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	7	3	7	1272	4387	100	25
0	0	0	1	8	2	""	""	2065	1435	200	44	52	27	51	38	38	54	85	157	4	0	0	65908	-0.024	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	14	6	14	1272	3908	100	26
0	0	0	1	9	2	""	""	2325	1435	200	35	44	27	61	36	36	48	77	160	4	0	0	55439	-0.052	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	8	-1	8	1272	3908	100	27
0	0	0	1	10	2	""	""	2585	1435	200	32	36	17	47	37	37	50	45	90	3	0	0	45922	-0.311	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-5	-1	-5	-1	1272	3908	100	28
0	0	0	1	11	2	""	""	2845	1435	200	61	90	74	82	40	40	53	61	115	31	14	0	114370	0.607	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	21	50	21	50	1272	3908	100	29
-100	0	0	1	12	2	""	""	3105	1435	200	36	62	62	100	35	35	43	63	146	16	8	0	78444	0.302	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	27	1	27	1272	3908	100	30
0	0	0	1	13	2	""	""	3365	1435	200	30	33	21	63	30	30	35	42	120	2	1	0	41852	-0.048	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	3	0	3	1272	3908	100	31
