ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2016/05/05 18:23:45"
"Settings=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Margreet\Block setttings\3x8-22x18 HMO 3rd-3.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Anthony\05_04_2016\10087926_gain 400.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/#2)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=45, 0"
"JpegOrigin=45, 715"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4000B [86761]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=3.32"
"Filters=<Empty>"
"ScanRegion=9,0,4400,14300"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/#2)"	"Ratio of Means (635/#2)"	"Median of Ratios (635/#2)"	"Mean of Ratios (635/#2)"	"Ratios SD (635/#2)"	"Rgn Ratio (635/#2)"	"Rgn R2 (635/#2)"	"Log Ratio (635/#2)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/#2)"	"Sum of Means (635/#2)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	3	8	7	""	""	18110	2630	200	47	48	11	22	43	43	43	8	18	31	13	0	61012	0.625	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	5	4	5	1272	3612	100	908
0	0	0	3	9	7	""	""	18370	2630	200	46	47	10	21	46	46	47	11	23	13	2	0	60236	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3612	100	909
0	0	0	3	10	7	""	""	18630	2630	200	46	47	9	19	47	47	48	17	35	5	1	0	60144	-0.059	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	3612	100	910
0	0	0	3	11	7	""	""	18890	2630	200	45	46	9	19	45	45	46	11	23	9	2	0	58369	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3612	100	911
0	0	0	3	12	7	""	""	19150	2630	200	46	49	23	46	45	45	47	32	68	3	1	0	62677	0.063	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	4154	100	912
0	0	0	3	13	7	""	""	19485	2675	200	50	53	33	62	46	46	47	10	21	22	7	0	67902	0.600	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	7	4	7	1272	4450	100	913
0	0	0	3	14	7	""	""	19745	2675	200	45	47	19	40	44	44	45	9	20	16	4	0	59655	0.222	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3908	100	914
0	0	0	3	15	7	""	""	20005	2675	200	44	46	12	26	43	43	44	11	25	15	5	0	58223	0.182	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3908	100	915
0	0	0	3	16	7	""	""	20265	2675	200	40	43	38	88	41	41	42	11	26	4	2	0	54865	0.091	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	2	-1	2	1272	3908	100	916
0	0	0	3	17	7	""	""	20525	2675	200	37	38	6	15	38	38	39	15	38	0	0	0	47940	-0.067	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	3908	100	917
0	0	0	3	18	7	""	""	20785	2675	200	38	38	6	15	38	38	42	46	109	0	0	0	48427	-0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	4520	100	918
0	0	0	3	1	8	""	""	16335	2865	200	42	42	8	19	41	41	42	14	33	3	0	0	53469	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	4017	100	919
0	0	0	3	2	8	""	""	16535	2865	200	43	43	8	18	42	42	43	20	46	1	0	0	54853	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3143	100	920
0	0	0	3	3	8	""	""	16775	2885	200	44	44	9	20	43	43	44	13	29	7	1	0	56575	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3893	100	921
0	0	0	3	4	8	""	""	17035	2865	200	43	44	10	22	44	44	44	9	20	9	1	0	55583	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	4363	100	922
0	0	0	3	5	8	""	""	17300	2870	200	44	44	7	15	43	43	43	9	20	10	1	0	55793	0.111	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	4117	100	923
0	0	0	3	6	8	""	""	17565	2885	200	43	43	8	18	43	43	44	9	20	9	2	0	55094	-0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	4704	100	924
0	0	0	3	7	8	""	""	17925	2935	200	45	45	8	17	44	44	45	9	20	13	2	0	57318	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	4923	100	925
0	0	0	3	8	8	""	""	18185	2935	200	48	48	9	18	46	46	48	10	20	16	3	0	61396	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	2	2	2	1272	4311	100	926
0	0	0	3	9	8	""	""	18445	2935	200	55	59	30	50	49	49	51	13	25	29	11	0	75598	0.615	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	10	6	10	1272	4311	100	927
0	0	0	3	10	8	""	""	18705	2935	200	47	48	13	27	47	47	48	16	33	5	0	0	60733	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	4311	100	928
0	0	0	3	11	8	""	""	18965	2935	200	44	45	8	17	45	45	46	9	19	10	1	0	56881	-0.111	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	4311	100	929
0	0	0	3	12	8	""	""	19225	2935	200	42	43	7	16	44	44	46	31	67	0	0	0	54191	-0.097	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-2	-1	-2	-1	1272	4316	100	930
0	0	0	3	13	8	""	""	19485	2935	200	42	42	7	16	43	43	44	8	18	8	1	0	53455	-0.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	-1	-1	-1	1272	3908	100	931
0	0	0	3	14	8	""	""	19745	2935	200	42	42	7	16	42	42	43	7	16	14	2	0	53515	-0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3908	100	932
0	0	0	3	15	8	""	""	20005	2935	200	43	43	7	16	43	43	44	11	25	6	0	0	54648	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3908	100	933
0	0	0	3	16	8	""	""	20265	2935	200	42	43	9	20	42	42	42	7	16	16	2	0	54409	0.143	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3908	100	934
0	0	0	3	17	8	""	""	20525	2935	200	39	39	6	15	39	39	39	6	15	11	2	0	49434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3908	100	935
0	0	0	3	18	8	""	""	20785	2935	200	37	38	5	13	37	37	38	9	23	6	0	0	48338	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	4520	100	936
0	0	0	3	1	9	""	""	16365	3195	200	42	42	8	19	41	41	41	10	24	7	1	0	53358	0.100	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	5030	100	937
0	0	0	3	2	9	""	""	16625	3195	200	42	43	10	23	42	42	42	12	28	6	1	0	54525	0.083	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	4250	100	938
0	0	0	3	3	9	""	""	16865	3195	200	43	45	33	73	42	42	52	134	257	0	0	0	57559	-0.052	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	4359	100	939
0	0	0	3	4	9	""	""	17145	3195	200	44	45	8	17	43	43	47	80	170	0	0	0	57277	-0.025	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4654	100	940
0	0	0	3	5	9	""	""	17405	3195	200	44	45	8	17	43	43	44	9	20	15	3	0	57133	0.111	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4436	100	941
0	0	0	3	6	9	""	""	17665	3195	200	44	45	8	17	45	45	46	9	19	10	1	0	57148	-0.111	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	4385	100	942
0	0	0	3	7	9	""	""	17925	3195	200	47	48	9	18	46	46	47	17	36	4	0	0	60697	0.059	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3908	100	943
0	0	0	3	8	9	""	""	18185	3195	200	48	50	11	22	47	47	49	21	42	3	1	0	63159	0.048	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3908	100	944
0	0	0	3	9	9	""	""	18445	3195	200	50	51	12	23	48	48	50	16	32	9	1	0	65187	0.063	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	3908	100	945
0	0	0	3	10	9	""	""	18705	3195	200	45	45	8	17	45	45	48	65	135	0	0	0	57619	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3862	100	946
0	0	0	3	11	9	""	""	18965	3195	200	42	43	13	30	43	43	47	76	161	0	0	0	54243	-0.053	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	3874	100	947
0	0	0	3	12	9	""	""	19225	3195	200	42	42	8	19	42	42	50	87	174	0	0	0	53577	-0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3908	100	948
0	0	0	3	13	9	""	""	19485	3195	200	41	73	337	461	41	41	42	9	21	15	5	0	93381	3.444	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	32	0	32	1272	3715	100	949
0	0	0	3	14	9	""	""	19745	3195	200	43	46	36	78	41	41	42	11	26	10	2	0	58648	0.364	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	5	2	5	1272	3774	100	950
0	0	0	3	15	9	""	""	20005	3195	200	42	42	7	16	42	42	43	12	27	4	0	0	54054	-0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3877	100	951
0	0	0	3	16	9	""	""	20265	3195	200	42	43	27	62	42	42	42	10	23	5	1	0	54925	0.100	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3923	100	952
0	0	0	3	17	9	""	""	20525	3195	200	40	40	6	15	39	39	40	8	20	9	1	0	51060	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3740	100	953
0	0	0	3	18	9	""	""	20785	3195	200	37	38	5	13	37	37	38	6	15	14	2	0	47924	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	4474	100	954
0	0	0	3	1	10	""	""	16365	3455	200	43	43	8	18	41	41	42	9	21	16	4	0	55028	0.111	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	2	2	2	1272	4520	100	955
0	0	0	3	2	10	""	""	16625	3455	200	44	44	8	18	42	42	42	9	21	15	3	0	56198	0.222	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	2	2	2	1272	3898	100	956
0	0	0	3	3	10	""	""	16885	3455	200	43	45	21	46	42	42	53	141	266	0	0	0	57287	-0.057	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3916	100	957
0	0	0	3	4	10	""	""	17145	3455	200	43	43	7	16	43	43	54	141	261	0	0	0	54883	-0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3908	100	958
0	0	0	3	5	10	""	""	17405	3455	200	46	46	10	21	45	45	46	15	32	6	0	0	59065	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3908	100	959
0	0	0	3	6	10	""	""	17665	3455	200	51	53	24	45	47	47	48	18	37	8	1	0	67313	0.278	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	6	4	6	1272	3908	100	960
0	0	0	3	7	10	""	""	17925	3455	200	58	61	17	27	49	49	51	24	47	19	4	0	78048	0.417	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	9	12	9	12	1272	3908	100	961
0	0	0	3	8	10	""	""	18185	3455	200	50	50	9	18	49	49	53	30	56	1	0	0	63934	-0.100	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3908	100	962
0	0	0	3	9	10	""	""	18445	3455	200	46	46	8	17	46	46	48	20	41	1	0	0	59081	-0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	4149	100	963
0	0	0	3	10	10	""	""	18735	3450	200	44	49	52	106	43	43	46	67	145	1	1	0	62863	0.045	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	6	1	6	1272	3671	100	964
0	0	0	3	11	10	""	""	18940	3455	200	42	42	8	19	42	42	45	47	104	0	0	0	53822	-0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3649	100	965
0	0	0	3	12	10	""	""	19225	3455	200	45	269	648	240	41	41	47	82	174	20	17	0	342566	2.707	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	228	4	228	1272	4395	100	966
0	0	0	3	13	10	""	""	19520	3430	200	39	40	7	17	39	39	40	11	27	7	0	0	51006	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3793	100	967
0	0	0	3	14	10	""	""	19745	3455	200	40	40	7	17	41	41	41	11	26	3	0	0	51371	-0.091	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	-1	-1	-1	1272	3616	100	968
0	0	0	3	15	10	""	""	20005	3455	200	42	62	213	343	41	41	41	8	19	16	6	0	79038	2.625	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	21	1	21	1272	3648	100	969
0	0	0	3	16	10	""	""	20235	3455	200	41	41	6	14	41	41	41	10	24	4	0	0	52108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3969	100	970
0	0	0	3	17	10	""	""	20540	3435	200	40	41	10	24	40	40	40	8	20	9	2	0	51952	0.125	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	4093	100	971
0	0	0	3	18	10	""	""	20785	3455	200	39	39	6	15	39	39	39	6	15	15	2	0	49858	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	4399	100	972
0	0	0	3	1	11	""	""	16365	3715	200	44	45	9	20	42	42	43	10	23	16	3	0	56943	0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	4520	100	973
0	0	0	3	2	11	""	""	16625	3715	200	44	45	10	22	43	43	44	11	25	11	2	0	56834	0.091	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3890	100	974
0	0	0	3	3	11	""	""	16885	3715	200	44	47	56	119	43	43	43	10	23	10	3	0	60035	0.400	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	3919	100	975
0	0	0	3	4	11	""	""	17145	3715	200	44	44	7	15	43	43	44	24	54	1	0	0	55852	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3834	100	976
0	0	0	3	5	11	""	""	17405	3715	200	44	44	9	20	44	44	46	27	58	0	0	0	56594	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3898	100	977
0	0	0	3	6	11	""	""	17665	3715	200	47	54	73	135	46	46	47	18	38	5	2	0	68084	0.389	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	8	1	8	1272	3916	100	978
0	0	0	3	7	11	""	""	17925	3715	200	47	48	9	18	47	47	50	24	48	2	0	0	61409	-0.083	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3908	100	979
0	0	0	3	8	11	""	""	18185	3715	200	50	51	11	21	48	48	51	23	45	4	1	0	64724	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	4119	100	980
0	0	0	3	9	11	""	""	18445	3715	200	52	69	109	157	46	46	47	10	21	33	16	0	88189	2.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	23	6	23	1272	3908	100	981
0	0	0	3	10	11	""	""	18705	3715	200	43	44	9	20	43	43	44	8	18	14	3	0	55764	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3952	100	982
0	0	0	3	11	11	""	""	18965	3715	200	41	42	18	42	41	41	41	9	21	9	1	0	53162	0.111	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3922	100	983
0	0	0	3	12	11	""	""	19225	3715	200	42	43	17	39	41	41	41	8	19	15	3	0	54768	0.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3908	100	984
0	0	0	3	13	11	""	""	19485	3715	200	42	43	18	41	41	41	41	10	24	11	3	0	55078	0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4176	100	985
0	0	0	3	14	11	""	""	19745	3715	200	41	41	7	17	41	41	42	14	33	2	0	0	52062	-0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3905	100	986
0	0	0	3	15	11	""	""	20005	3715	200	40	40	7	17	40	40	40	6	15	15	3	0	51069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3877	100	987
0	0	0	3	16	11	""	""	20265	3715	200	40	40	6	15	40	40	40	6	15	12	2	0	50908	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3923	100	988
0	0	0	3	17	11	""	""	20525	3715	200	40	40	6	15	39	39	40	6	15	18	4	0	50796	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	4075	100	989
0	0	0	3	18	11	""	""	20785	3715	200	38	38	6	15	39	39	39	6	15	10	1	0	48913	-0.167	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	-1	-1	-1	1272	4520	100	990
0	0	0	3	1	12	""	""	16365	3975	200	42	44	11	25	41	41	41	8	19	22	6	0	55420	0.375	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	4520	100	991
0	0	0	3	2	12	""	""	16625	3975	200	47	48	15	31	44	44	45	11	24	17	5	0	61453	0.273	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	4	3	4	1272	3648	100	992
0	0	0	3	3	12	""	""	16855	3980	200	46	48	13	27	43	43	44	10	22	21	5	0	60627	0.400	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	5	3	5	1272	3661	100	993
0	0	0	3	4	12	""	""	17120	3965	200	42	42	7	16	42	42	43	22	51	0	0	0	54023	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	4128	100	994
0	0	0	3	5	12	""	""	17405	3975	200	42	43	7	16	42	42	43	23	53	0	0	0	54389	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3940	100	995
0	0	0	3	6	12	""	""	17645	3975	200	46	46	8	17	44	44	50	150	300	0	0	0	58869	-0.027	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	2	2	2	1272	3896	100	996
0	0	0	3	7	12	""	""	17925	3975	200	46	48	25	52	46	46	51	143	280	0	0	0	60697	-0.021	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	1272	4283	100	997
0	0	0	3	8	12	""	""	18210	4000	200	47	47	8	17	46	46	47	11	23	9	1	0	59946	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3770	100	998
0	0	0	3	9	12	""	""	18445	3975	200	45	46	9	19	46	46	47	11	23	6	1	0	58258	-0.091	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	3912	100	999
0	0	0	3	10	12	""	""	18735	3975	200	44	45	21	46	44	44	44	9	20	12	2	0	57625	0.111	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3525	100	1000
0	0	0	3	11	12	""	""	18940	3980	200	42	43	9	20	41	41	42	8	19	16	2	0	54118	0.125	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3596	100	1001
0	0	0	3	12	12	""	""	19225	3975	200	40	40	6	15	41	41	41	7	17	9	1	0	51238	-0.143	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	-1	-1	-1	1272	4286	100	1002
0	0	0	3	13	12	""	""	19505	3980	200	41	41	8	19	40	40	40	7	17	13	2	0	51913	0.143	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3891	100	1003
0	0	0	3	14	12	""	""	19745	3975	200	43	77	418	542	41	41	42	19	45	6	3	0	97648	1.842	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	36	2	36	1272	3736	100	1004
0	0	0	3	15	12	""	""	20005	3975	200	39	40	6	15	40	40	41	16	39	1	0	0	50767	-0.062	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	3908	100	1005
0	0	0	3	16	12	""	""	20265	3975	200	41	41	6	14	39	39	40	6	15	22	4	0	51965	0.167	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	2	2	2	1272	3908	100	1006
0	0	0	3	17	12	""	""	20525	3975	200	40	40	6	15	39	39	40	6	15	18	3	0	51032	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3908	100	1007
0	0	0	3	18	12	""	""	20785	3975	200	39	39	6	15	38	38	39	6	15	16	3	0	49606	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	4520	100	1008
0	0	0	3	1	13	""	""	16365	4235	200	41	42	10	23	39	39	40	7	17	21	6	0	52922	0.286	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	4520	100	1009
0	0	0	3	2	13	""	""	16625	4235	200	46	46	9	19	42	42	42	7	16	33	10	0	58877	0.571	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	4	4	4	1272	3863	100	1010
0	0	0	3	3	13	""	""	16885	4235	200	43	44	11	25	42	42	42	7	16	20	5	0	56285	0.286	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3878	100	1011
0	0	0	3	4	13	""	""	17145	4235	200	43	43	10	23	41	41	42	14	33	5	1	0	54940	0.071	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	2	2	2	1272	4001	100	1012
0	0	0	3	5	13	""	""	17405	4235	200	42	58	130	224	42	42	42	7	16	19	7	0	73690	2.286	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	16	0	16	1272	3898	100	1013
0	0	0	3	6	13	""	""	17665	4235	200	44	44	7	15	44	44	57	184	322	0	0	0	56371	-0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3916	100	1014
0	0	0	3	7	13	""	""	17925	4235	200	45	47	24	51	45	45	53	152	286	0	0	0	59929	-0.039	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	1272	4111	100	1015
0	0	0	3	8	13	""	""	18210	4230	200	45	46	12	26	45	45	45	11	24	8	1	0	58835	0.091	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3678	100	1016
0	0	0	3	9	13	""	""	18445	4235	200	45	46	9	19	44	44	46	13	28	6	0	0	58177	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3578	100	1017
0	0	0	3	10	13	""	""	18705	4235	200	43	44	16	36	43	43	44	10	22	10	2	0	56521	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3543	100	1018
0	0	0	3	11	13	""	""	18925	4230	200	42	42	7	16	42	42	42	8	19	11	1	0	53524	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3459	100	1019
0	0	0	3	12	13	""	""	19200	4235	200	42	42	7	16	41	41	42	7	16	17	3	0	53881	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	4237	100	1020
0	0	0	3	13	13	""	""	19485	4235	200	39	40	7	17	40	40	40	7	17	11	2	0	50861	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	4075	100	1021
0	0	0	3	14	13	""	""	19745	4235	200	41	41	7	17	40	40	40	7	17	14	2	0	51793	0.143	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3888	100	1022
0	0	0	3	15	13	""	""	20005	4235	200	42	43	7	16	41	41	41	16	39	3	0	0	54268	0.125	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3908	100	1023
0	0	0	3	16	13	""	""	20265	4235	200	39	40	6	15	40	40	40	7	17	9	0	0	50280	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	3908	100	1024
0	0	0	3	17	13	""	""	20525	4235	200	40	40	7	17	39	39	40	7	17	16	2	0	51319	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3908	100	1025
0	0	0	3	18	13	""	""	20785	4235	200	39	41	13	31	39	39	39	6	15	19	6	0	52613	0.333	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	1272	4520	100	1026
0	0	0	3	1	14	""	""	16365	4495	200	39	39	6	15	39	39	39	6	15	13	2	0	49701	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	4520	100	1027
0	0	0	3	2	14	""	""	16625	4495	200	41	41	7	17	41	41	41	7	17	13	2	0	52336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3908	100	1028
0	0	0	3	3	14	""	""	16885	4495	200	44	45	9	20	42	42	42	8	19	21	5	0	56793	0.375	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	3908	100	1029
